"","county","state","number_of_wired_bb_providers","lowest_monthly_price","percent_of_pop_w_wired_bb_coverage","fiber_penetration","state_fips_code","county_fips_code"
"1","Autauga","Alabama",6,63.33,0.816,0.134,1,1
"2","Baldwin","Alabama",7,70,0.912,0.153,1,3
"3","Baldwin","Alabama",7,70,0.912,0.153,13,9
"4","Barbour","Alabama",5,67.5,0.692,0.02,1,5
"5","Barbour","Alabama",5,67.5,0.692,0.02,54,1
"6","Bibb","Alabama",4,70,0.299,0.099,1,7
"7","Bibb","Alabama",4,70,0.299,0.099,13,21
"8","Blount","Alabama",9,70.59,0.694,0.157,1,9
"9","Blount","Alabama",9,70.59,0.694,0.157,47,9
"10","Bullock","Alabama",2,67.97,0.882,0.882,1,11
"11","Butler","Alabama",7,65,0.792,0.29,1,13
"12","Butler","Alabama",7,65,0.792,0.29,19,23
"13","Butler","Alabama",7,65,0.792,0.29,20,15
"14","Butler","Alabama",7,65,0.792,0.29,21,31
"15","Butler","Alabama",7,65,0.792,0.29,29,23
"16","Butler","Alabama",7,65,0.792,0.29,31,23
"17","Butler","Alabama",7,65,0.792,0.29,39,17
"18","Butler","Alabama",7,65,0.792,0.29,42,19
"19","Calhoun","Alabama",6,65,0.92,0.041,1,15
"20","Calhoun","Alabama",6,65,0.92,0.041,5,13
"21","Calhoun","Alabama",6,65,0.92,0.041,12,13
"22","Calhoun","Alabama",6,65,0.92,0.041,13,37
"23","Calhoun","Alabama",6,65,0.92,0.041,17,13
"24","Calhoun","Alabama",6,65,0.92,0.041,19,25
"25","Calhoun","Alabama",6,65,0.92,0.041,26,25
"26","Calhoun","Alabama",6,65,0.92,0.041,28,13
"27","Calhoun","Alabama",6,65,0.92,0.041,45,17
"28","Calhoun","Alabama",6,65,0.92,0.041,48,57
"29","Calhoun","Alabama",6,65,0.92,0.041,54,13
"30","Chambers","Alabama",4,66.24,0.823,0.006,1,17
"31","Chambers","Alabama",4,66.24,0.823,0.006,48,71
"32","Cherokee","Alabama",3,66.19,0.478,0.007,1,19
"33","Cherokee","Alabama",3,66.19,0.478,0.007,13,57
"34","Cherokee","Alabama",3,66.19,0.478,0.007,19,35
"35","Cherokee","Alabama",3,66.19,0.478,0.007,20,21
"36","Cherokee","Alabama",3,66.19,0.478,0.007,37,39
"37","Cherokee","Alabama",3,66.19,0.478,0.007,40,21
"38","Cherokee","Alabama",3,66.19,0.478,0.007,45,21
"39","Cherokee","Alabama",3,66.19,0.478,0.007,48,73
"40","Chilton","Alabama",7,67.5,0.67,0.012,1,21
"41","Choctaw","Alabama",2,72.45,0.285,0,1,23
"42","Choctaw","Alabama",2,72.45,0.285,0,28,19
"43","Choctaw","Alabama",2,72.45,0.285,0,40,23
"44","Clarke","Alabama",5,68.65,0.644,0.039,1,25
"45","Clarke","Alabama",5,68.65,0.644,0.039,13,59
"46","Clarke","Alabama",5,68.65,0.644,0.039,19,39
"47","Clarke","Alabama",5,68.65,0.644,0.039,28,23
"48","Clarke","Alabama",5,68.65,0.644,0.039,51,43
"49","Clay","Alabama",3,61.66,0.434,0,1,27
"50","Clay","Alabama",3,61.66,0.434,0,5,21
"51","Clay","Alabama",3,61.66,0.434,0,12,19
"52","Clay","Alabama",3,61.66,0.434,0,13,61
"53","Clay","Alabama",3,61.66,0.434,0,17,25
"54","Clay","Alabama",3,61.66,0.434,0,18,21
"55","Clay","Alabama",3,61.66,0.434,0,19,41
"56","Clay","Alabama",3,61.66,0.434,0,20,27
"57","Clay","Alabama",3,61.66,0.434,0,21,51
"58","Clay","Alabama",3,61.66,0.434,0,27,27
"59","Clay","Alabama",3,61.66,0.434,0,28,25
"60","Clay","Alabama",3,61.66,0.434,0,29,47
"61","Clay","Alabama",3,61.66,0.434,0,31,35
"62","Clay","Alabama",3,61.66,0.434,0,37,43
"63","Clay","Alabama",3,61.66,0.434,0,46,27
"64","Clay","Alabama",3,61.66,0.434,0,47,27
"65","Clay","Alabama",3,61.66,0.434,0,48,77
"66","Clay","Alabama",3,61.66,0.434,0,54,15
"67","Cleburne","Alabama",4,57.5,0.145,0,1,29
"68","Cleburne","Alabama",4,57.5,0.145,0,5,23
"69","Coffee","Alabama",8,69.99,0.902,0.667,1,31
"70","Coffee","Alabama",8,69.99,0.902,0.667,13,69
"71","Coffee","Alabama",8,69.99,0.902,0.667,47,31
"72","Colbert","Alabama",7,67.35,0.803,0.025,1,33
"73","Conecuh","Alabama",3,60,0.449,0,1,35
"74","Coosa","Alabama",7,67.5,0.812,0.015,1,37
"75","Covington","Alabama",5,69.99,0.854,0,1,39
"76","Covington","Alabama",5,69.99,0.854,0,28,31
"77","Covington","Alabama",5,69.99,0.854,0,51,580
"78","Crenshaw","Alabama",6,67.46,0.723,0.631,1,41
"79","Cullman","Alabama",3,63.33,0.775,0.006,1,43
"80","Dale","Alabama",5,74.99,0.943,0.739,1,45
"81","Dallas","Alabama",3,65,0.783,0.002,1,47
"82","Dallas","Alabama",3,65,0.783,0.002,5,39
"83","Dallas","Alabama",3,65,0.783,0.002,19,49
"84","Dallas","Alabama",3,65,0.783,0.002,29,59
"85","Dallas","Alabama",3,65,0.783,0.002,48,113
"86","DeKalb","Alabama",6,69.79,0.9,0.743,1,49
"87","DeKalb","Alabama",6,69.79,0.9,0.743,13,89
"88","DeKalb","Alabama",6,69.79,0.9,0.743,17,37
"89","DeKalb","Alabama",6,69.79,0.9,0.743,18,33
"90","DeKalb","Alabama",6,69.79,0.9,0.743,29,63
"91","DeKalb","Alabama",6,69.79,0.9,0.743,47,41
"92","Elmore","Alabama",9,60,0.928,0.09,1,51
"93","Elmore","Alabama",9,60,0.928,0.09,16,39
"94","Escambia","Alabama",2,70,0.751,0,1,53
"95","Escambia","Alabama",2,70,0.751,0,12,33
"96","Etowah","Alabama",6,69.81,0.945,0.078,1,55
"97","Fayette","Alabama",3,58.63,0.272,0.068,1,57
"98","Fayette","Alabama",3,58.63,0.272,0.068,13,113
"99","Fayette","Alabama",3,58.63,0.272,0.068,17,51
"100","Fayette","Alabama",3,58.63,0.272,0.068,18,41
"101","Fayette","Alabama",3,58.63,0.272,0.068,19,65
"102","Fayette","Alabama",3,58.63,0.272,0.068,21,67
"103","Fayette","Alabama",3,58.63,0.272,0.068,39,47
"104","Fayette","Alabama",3,58.63,0.272,0.068,42,51
"105","Fayette","Alabama",3,58.63,0.272,0.068,47,47
"106","Fayette","Alabama",3,58.63,0.272,0.068,48,149
"107","Fayette","Alabama",3,58.63,0.272,0.068,54,19
"108","Franklin","Alabama",5,62.31,0.651,0.003,1,59
"109","Franklin","Alabama",5,62.31,0.651,0.003,5,47
"110","Franklin","Alabama",5,62.31,0.651,0.003,12,37
"111","Franklin","Alabama",5,62.31,0.651,0.003,13,119
"112","Franklin","Alabama",5,62.31,0.651,0.003,16,41
"113","Franklin","Alabama",5,62.31,0.651,0.003,17,55
"114","Franklin","Alabama",5,62.31,0.651,0.003,18,47
"115","Franklin","Alabama",5,62.31,0.651,0.003,19,69
"116","Franklin","Alabama",5,62.31,0.651,0.003,20,59
"117","Franklin","Alabama",5,62.31,0.651,0.003,21,73
"118","Franklin","Alabama",5,62.31,0.651,0.003,22,41
"119","Franklin","Alabama",5,62.31,0.651,0.003,23,7
"120","Franklin","Alabama",5,62.31,0.651,0.003,25,11
"121","Franklin","Alabama",5,62.31,0.651,0.003,28,37
"122","Franklin","Alabama",5,62.31,0.651,0.003,29,71
"123","Franklin","Alabama",5,62.31,0.651,0.003,31,61
"124","Franklin","Alabama",5,62.31,0.651,0.003,36,33
"125","Franklin","Alabama",5,62.31,0.651,0.003,37,69
"126","Franklin","Alabama",5,62.31,0.651,0.003,39,49
"127","Franklin","Alabama",5,62.31,0.651,0.003,42,55
"128","Franklin","Alabama",5,62.31,0.651,0.003,47,51
"129","Franklin","Alabama",5,62.31,0.651,0.003,48,159
"130","Franklin","Alabama",5,62.31,0.651,0.003,50,11
"131","Franklin","Alabama",5,62.31,0.651,0.003,51,67
"132","Franklin","Alabama",5,62.31,0.651,0.003,51,620
"133","Franklin","Alabama",5,62.31,0.651,0.003,53,21
"134","Geneva","Alabama",3,74.99,0.565,0,1,61
"135","Greene","Alabama",2,60,0.002,0,1,63
"136","Greene","Alabama",2,60,0.002,0,5,55
"137","Greene","Alabama",2,60,0.002,0,13,133
"138","Greene","Alabama",2,60,0.002,0,17,61
"139","Greene","Alabama",2,60,0.002,0,18,55
"140","Greene","Alabama",2,60,0.002,0,19,73
"141","Greene","Alabama",2,60,0.002,0,28,41
"142","Greene","Alabama",2,60,0.002,0,29,77
"143","Greene","Alabama",2,60,0.002,0,36,39
"144","Greene","Alabama",2,60,0.002,0,37,79
"145","Greene","Alabama",2,60,0.002,0,39,57
"146","Greene","Alabama",2,60,0.002,0,42,59
"147","Greene","Alabama",2,60,0.002,0,47,59
"148","Greene","Alabama",2,60,0.002,0,51,79
"149","Hale","Alabama",5,69.99,0.562,0.009,1,65
"150","Hale","Alabama",5,69.99,0.562,0.009,48,189
"151","Henry","Alabama",4,69.99,0.601,0.006,1,67
"152","Henry","Alabama",4,69.99,0.601,0.006,13,151
"153","Henry","Alabama",4,69.99,0.601,0.006,17,73
"154","Henry","Alabama",4,69.99,0.601,0.006,18,65
"155","Henry","Alabama",4,69.99,0.601,0.006,19,87
"156","Henry","Alabama",4,69.99,0.601,0.006,21,103
"157","Henry","Alabama",4,69.99,0.601,0.006,29,83
"158","Henry","Alabama",4,69.99,0.601,0.006,39,69
"159","Henry","Alabama",4,69.99,0.601,0.006,47,79
"160","Henry","Alabama",4,69.99,0.601,0.006,51,89
"161","Houston","Alabama",7,74.99,0.874,0.028,1,69
"162","Houston","Alabama",7,74.99,0.874,0.028,13,153
"163","Houston","Alabama",7,74.99,0.874,0.028,27,55
"164","Houston","Alabama",7,74.99,0.874,0.028,47,83
"165","Houston","Alabama",7,74.99,0.874,0.028,48,225
"166","Jackson","Alabama",10,70.5,0.936,0.872,1,71
"167","Jackson","Alabama",10,70.5,0.936,0.872,5,67
"168","Jackson","Alabama",10,70.5,0.936,0.872,8,57
"169","Jackson","Alabama",10,70.5,0.936,0.872,12,63
"170","Jackson","Alabama",10,70.5,0.936,0.872,13,157
"171","Jackson","Alabama",10,70.5,0.936,0.872,17,77
"172","Jackson","Alabama",10,70.5,0.936,0.872,18,71
"173","Jackson","Alabama",10,70.5,0.936,0.872,19,97
"174","Jackson","Alabama",10,70.5,0.936,0.872,20,85
"175","Jackson","Alabama",10,70.5,0.936,0.872,21,109
"176","Jackson","Alabama",10,70.5,0.936,0.872,22,49
"177","Jackson","Alabama",10,70.5,0.936,0.872,26,75
"178","Jackson","Alabama",10,70.5,0.936,0.872,27,63
"179","Jackson","Alabama",10,70.5,0.936,0.872,28,59
"180","Jackson","Alabama",10,70.5,0.936,0.872,29,95
"181","Jackson","Alabama",10,70.5,0.936,0.872,37,99
"182","Jackson","Alabama",10,70.5,0.936,0.872,39,79
"183","Jackson","Alabama",10,70.5,0.936,0.872,40,65
"184","Jackson","Alabama",10,70.5,0.936,0.872,41,29
"185","Jackson","Alabama",10,70.5,0.936,0.872,46,71
"186","Jackson","Alabama",10,70.5,0.936,0.872,47,87
"187","Jackson","Alabama",10,70.5,0.936,0.872,48,239
"188","Jackson","Alabama",10,70.5,0.936,0.872,54,35
"189","Jackson","Alabama",10,70.5,0.936,0.872,55,53
"190","Jefferson","Alabama",9,67.5,0.99,0.234,1,73
"191","Jefferson","Alabama",9,67.5,0.99,0.234,5,69
"192","Jefferson","Alabama",9,67.5,0.99,0.234,8,59
"193","Jefferson","Alabama",9,67.5,0.99,0.234,12,65
"194","Jefferson","Alabama",9,67.5,0.99,0.234,13,163
"195","Jefferson","Alabama",9,67.5,0.99,0.234,16,51
"196","Jefferson","Alabama",9,67.5,0.99,0.234,17,81
"197","Jefferson","Alabama",9,67.5,0.99,0.234,18,77
"198","Jefferson","Alabama",9,67.5,0.99,0.234,19,101
"199","Jefferson","Alabama",9,67.5,0.99,0.234,20,87
"200","Jefferson","Alabama",9,67.5,0.99,0.234,21,111
"201","Jefferson","Alabama",9,67.5,0.99,0.234,22,51
"202","Jefferson","Alabama",9,67.5,0.99,0.234,22,53
"203","Jefferson","Alabama",9,67.5,0.99,0.234,28,63
"204","Jefferson","Alabama",9,67.5,0.99,0.234,28,65
"205","Jefferson","Alabama",9,67.5,0.99,0.234,29,99
"206","Jefferson","Alabama",9,67.5,0.99,0.234,30,43
"207","Jefferson","Alabama",9,67.5,0.99,0.234,31,95
"208","Jefferson","Alabama",9,67.5,0.99,0.234,36,45
"209","Jefferson","Alabama",9,67.5,0.99,0.234,39,81
"210","Jefferson","Alabama",9,67.5,0.99,0.234,40,67
"211","Jefferson","Alabama",9,67.5,0.99,0.234,41,31
"212","Jefferson","Alabama",9,67.5,0.99,0.234,42,65
"213","Jefferson","Alabama",9,67.5,0.99,0.234,47,89
"214","Jefferson","Alabama",9,67.5,0.99,0.234,48,245
"215","Jefferson","Alabama",9,67.5,0.99,0.234,53,31
"216","Jefferson","Alabama",9,67.5,0.99,0.234,54,37
"217","Jefferson","Alabama",9,67.5,0.99,0.234,55,55
"218","Lamar","Alabama",5,58.31,0.376,0.029,1,75
"219","Lamar","Alabama",5,58.31,0.376,0.029,13,171
"220","Lamar","Alabama",5,58.31,0.376,0.029,28,73
"221","Lamar","Alabama",5,58.31,0.376,0.029,48,277
"222","Lauderdale","Alabama",6,67.5,0.793,0.117,1,77
"223","Lauderdale","Alabama",6,67.5,0.793,0.117,28,75
"224","Lauderdale","Alabama",6,67.5,0.793,0.117,47,97
"225","Lawrence","Alabama",3,65,0.567,0,1,79
"226","Lawrence","Alabama",3,65,0.567,0,5,75
"227","Lawrence","Alabama",3,65,0.567,0,17,101
"228","Lawrence","Alabama",3,65,0.567,0,18,93
"229","Lawrence","Alabama",3,65,0.567,0,21,127
"230","Lawrence","Alabama",3,65,0.567,0,28,77
"231","Lawrence","Alabama",3,65,0.567,0,29,109
"232","Lawrence","Alabama",3,65,0.567,0,39,87
"233","Lawrence","Alabama",3,65,0.567,0,42,73
"234","Lawrence","Alabama",3,65,0.567,0,46,81
"235","Lawrence","Alabama",3,65,0.567,0,47,99
"236","Lee","Alabama",9,63.33,0.972,0.321,1,81
"237","Lee","Alabama",9,63.33,0.972,0.321,5,77
"238","Lee","Alabama",9,63.33,0.972,0.321,12,71
"239","Lee","Alabama",9,63.33,0.972,0.321,13,177
"240","Lee","Alabama",9,63.33,0.972,0.321,17,103
"241","Lee","Alabama",9,63.33,0.972,0.321,19,111
"242","Lee","Alabama",9,63.33,0.972,0.321,21,129
"243","Lee","Alabama",9,63.33,0.972,0.321,28,81
"244","Lee","Alabama",9,63.33,0.972,0.321,37,105
"245","Lee","Alabama",9,63.33,0.972,0.321,45,61
"246","Lee","Alabama",9,63.33,0.972,0.321,48,287
"247","Lee","Alabama",9,63.33,0.972,0.321,51,105
"248","Limestone","Alabama",9,67.5,0.934,0.178,1,83
"249","Limestone","Alabama",9,67.5,0.934,0.178,48,293
"250","Lowndes","Alabama",1,65,0.135,0,1,85
"251","Lowndes","Alabama",1,65,0.135,0,13,185
"252","Lowndes","Alabama",1,65,0.135,0,28,87
"253","Macon","Alabama",2,65.49,0.676,0.039,1,87
"254","Macon","Alabama",2,65.49,0.676,0.039,13,193
"255","Macon","Alabama",2,65.49,0.676,0.039,17,115
"256","Macon","Alabama",2,65.49,0.676,0.039,29,121
"257","Macon","Alabama",2,65.49,0.676,0.039,37,113
"258","Macon","Alabama",2,65.49,0.676,0.039,47,111
"259","Madison","Alabama",9,69,0.975,0.601,1,89
"260","Madison","Alabama",9,69,0.975,0.601,5,87
"261","Madison","Alabama",9,69,0.975,0.601,12,79
"262","Madison","Alabama",9,69,0.975,0.601,13,195
"263","Madison","Alabama",9,69,0.975,0.601,16,65
"264","Madison","Alabama",9,69,0.975,0.601,17,119
"265","Madison","Alabama",9,69,0.975,0.601,18,95
"266","Madison","Alabama",9,69,0.975,0.601,19,121
"267","Madison","Alabama",9,69,0.975,0.601,21,151
"268","Madison","Alabama",9,69,0.975,0.601,22,65
"269","Madison","Alabama",9,69,0.975,0.601,28,89
"270","Madison","Alabama",9,69,0.975,0.601,29,123
"271","Madison","Alabama",9,69,0.975,0.601,30,57
"272","Madison","Alabama",9,69,0.975,0.601,31,119
"273","Madison","Alabama",9,69,0.975,0.601,36,53
"274","Madison","Alabama",9,69,0.975,0.601,37,115
"275","Madison","Alabama",9,69,0.975,0.601,39,97
"276","Madison","Alabama",9,69,0.975,0.601,47,113
"277","Madison","Alabama",9,69,0.975,0.601,48,313
"278","Madison","Alabama",9,69,0.975,0.601,51,113
"279","Marengo","Alabama",3,60,0.133,0,1,91
"280","Marion","Alabama",5,59.98,0.847,0.784,1,93
"281","Marion","Alabama",5,59.98,0.847,0.784,5,89
"282","Marion","Alabama",5,59.98,0.847,0.784,12,83
"283","Marion","Alabama",5,59.98,0.847,0.784,13,197
"284","Marion","Alabama",5,59.98,0.847,0.784,17,121
"285","Marion","Alabama",5,59.98,0.847,0.784,18,97
"286","Marion","Alabama",5,59.98,0.847,0.784,19,125
"287","Marion","Alabama",5,59.98,0.847,0.784,20,115
"288","Marion","Alabama",5,59.98,0.847,0.784,21,155
"289","Marion","Alabama",5,59.98,0.847,0.784,28,91
"290","Marion","Alabama",5,59.98,0.847,0.784,29,127
"291","Marion","Alabama",5,59.98,0.847,0.784,39,101
"292","Marion","Alabama",5,59.98,0.847,0.784,41,47
"293","Marion","Alabama",5,59.98,0.847,0.784,45,67
"294","Marion","Alabama",5,59.98,0.847,0.784,47,115
"295","Marion","Alabama",5,59.98,0.847,0.784,48,315
"296","Marion","Alabama",5,59.98,0.847,0.784,54,49
"297","Marshall","Alabama",9,71.87,0.953,0.297,1,95
"298","Marshall","Alabama",9,71.87,0.953,0.297,17,123
"299","Marshall","Alabama",9,71.87,0.953,0.297,18,99
"300","Marshall","Alabama",9,71.87,0.953,0.297,19,127
"301","Marshall","Alabama",9,71.87,0.953,0.297,20,117
"302","Marshall","Alabama",9,71.87,0.953,0.297,21,157
"303","Marshall","Alabama",9,71.87,0.953,0.297,27,89
"304","Marshall","Alabama",9,71.87,0.953,0.297,28,93
"305","Marshall","Alabama",9,71.87,0.953,0.297,40,95
"306","Marshall","Alabama",9,71.87,0.953,0.297,46,91
"307","Marshall","Alabama",9,71.87,0.953,0.297,47,117
"308","Marshall","Alabama",9,71.87,0.953,0.297,54,51
"309","Mobile","Alabama",8,70,0.954,0.258,1,97
"310","Monroe","Alabama",1,60,0.629,0,1,99
"311","Monroe","Alabama",1,60,0.629,0,5,95
"312","Monroe","Alabama",1,60,0.629,0,12,87
"313","Monroe","Alabama",1,60,0.629,0,13,207
"314","Monroe","Alabama",1,60,0.629,0,17,133
"315","Monroe","Alabama",1,60,0.629,0,18,105
"316","Monroe","Alabama",1,60,0.629,0,19,135
"317","Monroe","Alabama",1,60,0.629,0,21,171
"318","Monroe","Alabama",1,60,0.629,0,26,115
"319","Monroe","Alabama",1,60,0.629,0,28,95
"320","Monroe","Alabama",1,60,0.629,0,29,137
"321","Monroe","Alabama",1,60,0.629,0,36,55
"322","Monroe","Alabama",1,60,0.629,0,39,111
"323","Monroe","Alabama",1,60,0.629,0,42,89
"324","Monroe","Alabama",1,60,0.629,0,47,123
"325","Monroe","Alabama",1,60,0.629,0,54,63
"326","Monroe","Alabama",1,60,0.629,0,55,81
"327","Montgomery","Alabama",6,68.98,0.972,0.076,1,101
"328","Montgomery","Alabama",6,68.98,0.972,0.076,5,97
"329","Montgomery","Alabama",6,68.98,0.972,0.076,13,209
"330","Montgomery","Alabama",6,68.98,0.972,0.076,17,135
"331","Montgomery","Alabama",6,68.98,0.972,0.076,18,107
"332","Montgomery","Alabama",6,68.98,0.972,0.076,19,137
"333","Montgomery","Alabama",6,68.98,0.972,0.076,20,125
"334","Montgomery","Alabama",6,68.98,0.972,0.076,21,173
"335","Montgomery","Alabama",6,68.98,0.972,0.076,24,31
"336","Montgomery","Alabama",6,68.98,0.972,0.076,28,97
"337","Montgomery","Alabama",6,68.98,0.972,0.076,29,139
"338","Montgomery","Alabama",6,68.98,0.972,0.076,36,57
"339","Montgomery","Alabama",6,68.98,0.972,0.076,37,123
"340","Montgomery","Alabama",6,68.98,0.972,0.076,39,113
"341","Montgomery","Alabama",6,68.98,0.972,0.076,42,91
"342","Montgomery","Alabama",6,68.98,0.972,0.076,47,125
"343","Montgomery","Alabama",6,68.98,0.972,0.076,48,339
"344","Montgomery","Alabama",6,68.98,0.972,0.076,51,121
"345","Morgan","Alabama",7,68.24,0.909,0.143,1,103
"346","Morgan","Alabama",7,68.24,0.909,0.143,8,87
"347","Morgan","Alabama",7,68.24,0.909,0.143,13,211
"348","Morgan","Alabama",7,68.24,0.909,0.143,17,137
"349","Morgan","Alabama",7,68.24,0.909,0.143,18,109
"350","Morgan","Alabama",7,68.24,0.909,0.143,21,175
"351","Morgan","Alabama",7,68.24,0.909,0.143,29,141
"352","Morgan","Alabama",7,68.24,0.909,0.143,39,115
"353","Morgan","Alabama",7,68.24,0.909,0.143,47,129
"354","Morgan","Alabama",7,68.24,0.909,0.143,49,29
"355","Morgan","Alabama",7,68.24,0.909,0.143,54,65
"356","Perry","Alabama",0,NA,0,0,1,105
"357","Perry","Alabama",0,NA,0,0,5,105
"358","Perry","Alabama",0,NA,0,0,17,145
"359","Perry","Alabama",0,NA,0,0,18,123
"360","Perry","Alabama",0,NA,0,0,21,193
"361","Perry","Alabama",0,NA,0,0,28,111
"362","Perry","Alabama",0,NA,0,0,29,157
"363","Perry","Alabama",0,NA,0,0,39,127
"364","Perry","Alabama",0,NA,0,0,42,99
"365","Perry","Alabama",0,NA,0,0,47,135
"366","Pickens","Alabama",3,69.99,0.342,0,1,107
"367","Pickens","Alabama",3,69.99,0.342,0,13,227
"368","Pickens","Alabama",3,69.99,0.342,0,45,77
"369","Pike","Alabama",6,67.46,0.554,0.086,1,109
"370","Pike","Alabama",6,67.46,0.554,0.086,5,109
"371","Pike","Alabama",6,67.46,0.554,0.086,13,231
"372","Pike","Alabama",6,67.46,0.554,0.086,17,149
"373","Pike","Alabama",6,67.46,0.554,0.086,18,125
"374","Pike","Alabama",6,67.46,0.554,0.086,21,195
"375","Pike","Alabama",6,67.46,0.554,0.086,28,113
"376","Pike","Alabama",6,67.46,0.554,0.086,29,163
"377","Pike","Alabama",6,67.46,0.554,0.086,39,131
"378","Pike","Alabama",6,67.46,0.554,0.086,42,103
"379","Randolph","Alabama",5,76.22,0.51,0.055,1,111
"380","Randolph","Alabama",5,76.22,0.51,0.055,5,121
"381","Randolph","Alabama",5,76.22,0.51,0.055,13,243
"382","Randolph","Alabama",5,76.22,0.51,0.055,17,157
"383","Randolph","Alabama",5,76.22,0.51,0.055,18,135
"384","Randolph","Alabama",5,76.22,0.51,0.055,29,175
"385","Randolph","Alabama",5,76.22,0.51,0.055,37,151
"386","Randolph","Alabama",5,76.22,0.51,0.055,54,83
"387","Russell","Alabama",5,67.5,0.912,0.126,1,113
"388","Russell","Alabama",5,67.5,0.912,0.126,20,167
"389","Russell","Alabama",5,67.5,0.912,0.126,21,207
"390","Russell","Alabama",5,67.5,0.912,0.126,51,167
"391","Shelby","Alabama",6,67.5,0.963,0.236,1,117
"392","Shelby","Alabama",6,67.5,0.963,0.236,17,173
"393","Shelby","Alabama",6,67.5,0.963,0.236,18,145
"394","Shelby","Alabama",6,67.5,0.963,0.236,19,165
"395","Shelby","Alabama",6,67.5,0.963,0.236,21,211
"396","Shelby","Alabama",6,67.5,0.963,0.236,29,205
"397","Shelby","Alabama",6,67.5,0.963,0.236,39,149
"398","Shelby","Alabama",6,67.5,0.963,0.236,47,157
"399","Shelby","Alabama",6,67.5,0.963,0.236,48,419
"400","St. Clair","Alabama",10,69.99,0.805,0.176,NA,NA
"401","Sumter","Alabama",3,60,0.491,0,1,119
"402","Sumter","Alabama",3,60,0.491,0,12,119
"403","Sumter","Alabama",3,60,0.491,0,13,261
"404","Sumter","Alabama",3,60,0.491,0,45,85
"405","Talladega","Alabama",8,65,0.76,0.042,1,121
"406","Tallapoosa","Alabama",6,67.5,0.918,0.011,1,123
"407","Tuscaloosa","Alabama",6,66.56,0.925,0.135,1,125
"408","Walker","Alabama",5,67.19,0.768,0.015,1,127
"409","Walker","Alabama",5,67.19,0.768,0.015,13,295
"410","Walker","Alabama",5,67.19,0.768,0.015,48,471
"411","Washington","Alabama",5,72.98,0.528,0.037,1,129
"412","Washington","Alabama",5,72.98,0.528,0.037,5,143
"413","Washington","Alabama",5,72.98,0.528,0.037,8,121
"414","Washington","Alabama",5,72.98,0.528,0.037,12,133
"415","Washington","Alabama",5,72.98,0.528,0.037,13,303
"416","Washington","Alabama",5,72.98,0.528,0.037,16,87
"417","Washington","Alabama",5,72.98,0.528,0.037,17,189
"418","Washington","Alabama",5,72.98,0.528,0.037,18,175
"419","Washington","Alabama",5,72.98,0.528,0.037,19,183
"420","Washington","Alabama",5,72.98,0.528,0.037,20,201
"421","Washington","Alabama",5,72.98,0.528,0.037,21,229
"422","Washington","Alabama",5,72.98,0.528,0.037,22,117
"423","Washington","Alabama",5,72.98,0.528,0.037,23,29
"424","Washington","Alabama",5,72.98,0.528,0.037,24,43
"425","Washington","Alabama",5,72.98,0.528,0.037,27,163
"426","Washington","Alabama",5,72.98,0.528,0.037,28,151
"427","Washington","Alabama",5,72.98,0.528,0.037,29,221
"428","Washington","Alabama",5,72.98,0.528,0.037,31,177
"429","Washington","Alabama",5,72.98,0.528,0.037,36,115
"430","Washington","Alabama",5,72.98,0.528,0.037,37,187
"431","Washington","Alabama",5,72.98,0.528,0.037,39,167
"432","Washington","Alabama",5,72.98,0.528,0.037,40,147
"433","Washington","Alabama",5,72.98,0.528,0.037,41,67
"434","Washington","Alabama",5,72.98,0.528,0.037,42,125
"435","Washington","Alabama",5,72.98,0.528,0.037,44,9
"436","Washington","Alabama",5,72.98,0.528,0.037,47,179
"437","Washington","Alabama",5,72.98,0.528,0.037,48,477
"438","Washington","Alabama",5,72.98,0.528,0.037,49,53
"439","Washington","Alabama",5,72.98,0.528,0.037,50,23
"440","Washington","Alabama",5,72.98,0.528,0.037,51,191
"441","Washington","Alabama",5,72.98,0.528,0.037,55,131
"442","Wilcox","Alabama",3,60,0.465,0,1,131
"443","Wilcox","Alabama",3,60,0.465,0,13,315
"444","Winston","Alabama",6,60.18,0.635,0.285,1,133
"445","Winston","Alabama",6,60.18,0.635,0.285,28,159
"446","Aleutians East","Alaska",0,NA,0,0,NA,NA
"447","Aleutians West","Alaska",0,NA,0,0,NA,NA
"448","Anchorage","Alaska",4,74.99,0.992,0.015,2,20
"449","Bethel","Alaska",0,NA,0,0,2,50
"450","Bristol Bay","Alaska",0,NA,0,0,NA,NA
"451","Denali","Alaska",1,57.99,0.401,0,2,68
"452","Dillingham","Alaska",0,NA,0,0,2,70
"453","Fairbanks North Star","Alaska",2,74.99,0.865,0,NA,NA
"454","Haines","Alaska",1,299.95,0.93,0,2,100
"455","Hoonah-Angoon","Alaska",2,187.47,0.256,0,NA,NA
"456","Juneau","Alaska",2,74.99,0.995,0,2,110
"457","Juneau","Alaska",2,74.99,0.995,0,55,57
"458","Kenai Peninsula","Alaska",2,115,0.494,0,NA,NA
"459","Ketchikan Gateway","Alaska",2,74.96,0.99,0.964,NA,NA
"460","Kodiak Island","Alaska",1,115,0.866,0,NA,NA
"461","Lake and Peninsula","Alaska",0,NA,0,0,NA,NA
"462","Matanuska-Susitna","Alaska",3,74.99,0.926,0.244,NA,NA
"463","Nome","Alaska",0,NA,0,0,2,180
"464","North Slope","Alaska",0,NA,0,0,NA,NA
"465","Northwest Arctic","Alaska",0,NA,0,0,NA,NA
